Incident Type,Council District,Mental Health Flag,Priority Level,Response Datetime,Response Year,Response Month,Response Day of Week,Response Hour,First Unit Arrived Datetime,Call Closed Datetime,Sector,Initial Problem Description,Initial Problem Category,Number of Units Arrived,Unit Time on Scene,Response Time,Officer Injured/Killed Count,Subject Injured/Killed Count,Other Injured/Killed Count
Dispatched Incident,1,Mental Health Incident,Priority 3,2021-10-13T22:38:01Z,2021,Oct,Wed,22,2021-10-14T00:58:25Z,2021-10-14T01:26:22Z,Edward,Check Welfare Urgent,Welfare Check,2,2902,8750,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2024-05-22T07:33:25Z,2024,May,Wed,7,2024-05-22T07:47:53Z,2024-05-22T08:09:09Z,Charlie,Crash Service,Crashes,3,2360,978,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2018-10-23T21:10:45Z,2018,Oct,Tue,21,2018-10-23T21:15:44Z,2018-10-23T21:22:30Z,Charlie,Suspicious Vehicle,Suspicious Things,1,406,334,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 1,2022-09-13T00:08:29Z,2022,Sep,Tue,0,2022-09-13T00:17:26Z,2022-09-13T01:17:50Z,Edward,Nature Unknown Urgent,Other,2,6316,668,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2014-10-29T16:37:13Z,2014,Oct,Wed,16,2014-10-29T16:51:58Z,2014-10-29T17:00:26Z,Adam,Traffic Hazard,Traffic Stop/Hazard,1,508,961,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2023-12-25T01:36:06Z,2023,Dec,Mon,1,2023-12-25T01:51:55Z,2023-12-25T02:07:08Z,Ida,Alarm Burglar,Alarms,1,913,1050,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 0,2022-01-06T20:41:57Z,2022,Jan,Thu,20,2022-01-06T20:49:03Z,2022-01-06T21:30:37Z,Edward,Disturbance Hs,Disturbance,2,4431,456,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 3,2018-09-29T09:32:45Z,2018,Sep,Sat,9,2018-09-29T09:50:22Z,2018-09-29T10:46:56Z,Henry,Service,Other,1,3394,1322,0,0,0
Dispatched Incident,5,Mental Health Incident,Priority 3,2020-06-28T10:05:43Z,2020,Jun,Sun,10,2020-06-28T10:13:45Z,2020-06-28T10:30:27Z,David,Check Welfare Service,Welfare Check,1,1002,616,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 1,2024-05-18T15:19:35Z,2024,May,Sat,15,2024-05-18T15:27:44Z,2024-05-18T16:45:37Z,Frank,Disturbance Hs,Disturbance,2,6886,527,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2014-11-22T09:17:01Z,2014,Nov,Sat,9,2014-11-22T09:58:59Z,2014-11-22T10:11:01Z,Charlie,Alarm Burglar,Alarms,2,1048,2570,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2016-09-16T20:23:35Z,2016,Sep,Fri,20,2016-09-16T20:42:40Z,2016-09-16T21:05:01Z,Baker,Alarm Burglar,Alarms,1,1341,1216,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 3,2015-01-10T14:59:10Z,2015,Jan,Sat,14,2015-01-10T15:07:57Z,2015-01-10T15:14:23Z,Adam,Animal Service,Animal Related,1,386,684,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2016-12-03T18:56:00Z,2016,Dec,Sat,18,2016-12-03T19:17:26Z,2016-12-03T20:01:54Z,Charlie,Traffic Hazard,Traffic Stop/Hazard,1,2668,1321,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2021-09-06T01:24:04Z,2021,Sep,Mon,1,2021-09-06T03:48:13Z,2021-09-06T03:54:16Z,George,Alarm Burglar,Alarms,1,363,8705,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2019-08-23T12:02:10Z,2019,Aug,Fri,12,2019-08-23T12:23:29Z,2019-08-23T12:39:10Z,David,Doc / C.o. Violation,Disorderly Conduct,2,1447,1340,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 1,2022-12-16T07:29:20Z,2022,Dec,Fri,7,2022-12-16T07:39:43Z,2022-12-16T08:29:55Z,Adam,Check Welfare Urgent,Welfare Check,2,3511,675,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2016-04-21T16:17:15Z,2016,Apr,Thu,16,2016-04-21T17:54:40Z,2016-04-21T17:55:45Z,Edward,Check Welfare Service,Welfare Check,1,65,5862,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2014-02-16T10:57:38Z,2014,Feb,Sun,10,2014-02-16T11:04:05Z,2014-02-16T11:10:40Z,David,Suspicious Unknown,Suspicious Things,1,395,468,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2020-04-14T21:25:02Z,2020,Apr,Tue,21,2020-04-14T21:54:41Z,2020-04-14T22:13:20Z,Henry,Suspicious Person,Suspicious Things,1,1119,1883,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 1,2019-06-20T12:25:29Z,2019,Jun,Thu,12,2019-06-20T12:35:33Z,2019-06-20T12:47:50Z,Charlie,Assist Non Emergency,Assistance,2,1272,700,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2019-05-21T16:10:39Z,2019,May,Tue,16,2019-05-21T18:33:13Z,2019-05-21T19:25:58Z,George,Crash Service,Crashes,1,3165,8651,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2023-08-29T17:42:05Z,2023,Aug,Tue,17,2023-08-29T17:55:49Z,2023-08-29T19:02:22Z,Adam,Animal Urgent,Animal Related,2,6921,887,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 1,2017-08-30T23:21:23Z,2017,Aug,Wed,23,2017-08-30T23:24:01Z,2017-08-30T23:35:53Z,Ida,Check Welfare Urgent,Welfare Check,1,712,210,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2015-05-10T17:38:48Z,2015,May,Sun,17,2015-05-10T17:56:21Z,2015-05-10T18:09:53Z,David,Suspicious Person,Suspicious Things,1,812,1130,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 3,2015-11-28T00:43:36Z,2015,Nov,Sat,0,2015-11-28T01:01:23Z,2015-11-28T01:06:19Z,Frank,Doc / C.o. Violation,Disorderly Conduct,2,577,1107,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2019-05-22T13:20:23Z,2019,May,Wed,13,2019-05-22T13:49:10Z,2019-05-22T14:04:59Z,Charlie,Doc / C.o. Violation,Disorderly Conduct,1,949,1830,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2014-09-14T21:59:30Z,2014,Sep,Sun,21,2014-09-14T22:12:57Z,2014-09-14T22:48:30Z,David,Disturbance Other,Disturbance,2,3373,905,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 0,2018-01-10T04:07:21Z,2018,Jan,Wed,4,2018-01-10T04:22:02Z,2018-01-10T06:30:04Z,Henry,Information,Assistance,2,10178,298,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2015-12-19T10:14:56Z,2015,Dec,Sat,10,2015-12-19T10:17:49Z,2015-12-19T11:35:18Z,Ida,Crash Urgent,Crashes,2,7688,194,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2021-03-16T22:58:36Z,2021,Mar,Tue,22,2021-03-16T23:00:58Z,2021-03-16T23:24:08Z,Henry,Suspicious Person,Suspicious Things,2,2560,256,0,0,0
Dispatched Incident,8,Mental Health Incident,Priority 3,2023-06-11T20:51:15Z,2023,Jun,Sun,20,2023-06-11T21:26:34Z,2023-06-11T21:59:00Z,David,Check Welfare Service,Welfare Check,1,1946,2251,0,0,0
Dispatched Incident,1,Mental Health Incident,Priority 2,2022-06-25T06:06:16Z,2022,Jun,Sat,6,2022-06-25T06:59:22Z,2022-06-25T06:59:28Z,Ida,Suspicious Unknown,Suspicious Things,1,6,3383,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2015-11-14T01:05:01Z,2015,Nov,Sat,1,2015-11-14T01:11:07Z,2015-11-14T01:17:55Z,David,Disturbance Other,Disturbance,2,665,438,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 0,2019-07-14T20:33:07Z,2019,Jul,Sun,20,2019-07-14T20:37:52Z,2019-07-14T20:39:29Z,George,Disturbance Hs,Disturbance,2,173,294,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2024-11-23T04:58:56Z,2024,Nov,Sat,4,2024-11-23T07:30:25Z,2024-11-23T07:57:28Z,Ida,Alarm Burglar,Alarms,1,1623,9143,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 3,2017-10-27T14:11:12Z,2017,Oct,Fri,14,2017-10-27T14:21:42Z,2017-10-27T14:46:40Z,Edward,Check Welfare Service,Welfare Check,1,1498,830,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 3,2021-05-11T08:12:09Z,2021,May,Tue,8,2021-05-11T09:07:16Z,2021-05-11T11:18:46Z,Frank,Auto Theft Service,Auto Theft,1,7890,3338,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2021-12-26T12:24:11Z,2021,Dec,Sun,12,2021-12-26T13:56:21Z,2021-12-26T14:59:32Z,Frank,Disturbance Other,Disturbance,2,7481,5723,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2017-08-11T00:36:31Z,2017,Aug,Fri,0,2017-08-11T00:39:58Z,2017-08-11T01:37:41Z,David,Disturbance Other,Disturbance,2,6913,288,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2014-04-17T15:08:48Z,2014,Apr,Thu,15,2014-04-17T15:21:48Z,2014-04-17T15:26:22Z,David,Assist Non Emergency,Assistance,2,378,861,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-06-11T14:20:35Z,2014,Jun,Wed,14,2014-06-11T16:55:24Z,2014-06-11T18:01:11Z,Ida,Auto Theft Service,Auto Theft,1,3947,9589,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 1,2015-03-20T12:14:39Z,2015,Mar,Fri,12,2015-03-20T12:15:50Z,2015-03-20T13:03:28Z,George,Alarm Robbery,Alarms,2,3670,97,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 2,2018-06-23T03:06:36Z,2018,Jun,Sat,3,2018-06-23T03:12:32Z,2018-06-23T03:26:15Z,Adam,Alarm Burglar,Alarms,1,823,458,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 1,2024-09-08T19:12:49Z,2024,Sep,Sun,19,2024-09-08T20:47:22Z,2024-09-08T20:51:04Z,Frank,Check Welfare Service,Welfare Check,2,334,3786,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2023-12-14T21:54:44Z,2023,Dec,Thu,21,2023-12-14T22:12:17Z,2023-12-14T23:05:49Z,David,Assist Non Emergency,Assistance,1,3212,1218,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2018-04-17T03:08:14Z,2018,Apr,Tue,3,2018-04-17T03:56:05Z,2018-04-17T07:02:06Z,George,Doc / C.o. Violation,Disorderly Conduct,1,11161,2881,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2015-06-24T10:24:08Z,2015,Jun,Wed,10,2015-06-24T10:27:17Z,2015-06-24T10:43:24Z,Henry,Alarm Burglar,Alarms,2,1871,210,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 3,2016-01-02T16:16:53Z,2016,Jan,Sat,16,2016-01-02T18:32:47Z,2016-01-02T18:48:18Z,Frank,Hang-Ups,Other,1,931,8172,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2021-01-12T03:46:43Z,2021,Jan,Tue,3,2021-01-12T03:53:56Z,2021-01-12T04:30:39Z,George,Trespass Urgent,Trespassing,2,4389,486,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 0,2019-07-04T17:30:15Z,2019,Jul,Thu,17,2019-07-04T17:35:45Z,2019-07-04T20:20:03Z,Charlie,Crash Hs,Crashes,4,20771,343,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2014-11-15T10:49:29Z,2014,Nov,Sat,10,2014-11-15T10:57:40Z,2014-11-15T11:06:16Z,Edward,Traffic Hazard,Traffic Stop/Hazard,1,516,550,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2020-11-14T19:45:18Z,2020,Nov,Sat,19,2020-11-14T19:47:22Z,2020-11-14T19:49:07Z,Frank,Traffic Hazard,Traffic Stop/Hazard,1,105,193,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2019-08-27T00:32:26Z,2019,Aug,Tue,0,2019-08-27T00:37:05Z,2019-08-27T01:22:09Z,Henry,Suspicious Person,Suspicious Things,2,3801,397,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2024-03-18T06:27:49Z,2024,Mar,Mon,6,2024-03-18T06:34:34Z,2024-03-18T06:50:33Z,David,Alarm Burglar,Alarms,1,959,451,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2024-02-09T05:28:57Z,2024,Feb,Fri,5,2024-02-09T06:46:36Z,2024-02-09T07:25:55Z,David,Trespass Urgent,Trespassing,1,2359,4706,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2024-05-09T05:06:42Z,2024,May,Thu,5,2024-05-09T05:10:05Z,2024-05-09T05:38:24Z,Frank,Trespass Urgent,Trespassing,2,3383,237,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2018-11-13T19:09:25Z,2018,Nov,Tue,19,2018-11-13T22:15:16Z,2018-11-13T23:06:48Z,David,Service,Other,1,3092,11210,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2022-03-24T01:47:11Z,2022,Mar,Thu,1,2022-03-24T01:52:41Z,2022-03-24T02:23:01Z,Edward,Shots Fired,Shoot/Stab,2,3613,381,0,0,0
Dispatched Incident,7,Mental Health Incident,Priority 2,2023-02-20T12:15:44Z,2023,Feb,Mon,12,2023-02-20T12:24:52Z,2023-02-20T12:25:56Z,Edward,Trespass Urgent,Trespassing,1,64,586,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 3,2018-04-02T06:58:05Z,2018,Apr,Mon,6,2018-04-02T06:58:06Z,2018-04-02T07:11:09Z,Adam,Directed Patrol,Administrative,1,783,1,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2017-08-24T17:07:59Z,2017,Aug,Thu,17,2017-08-24T17:30:40Z,2017-08-24T17:40:57Z,Adam,Service,Other,1,617,1456,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2016-05-19T23:20:55Z,2016,May,Thu,23,2016-05-19T23:31:32Z,2016-05-20T00:01:49Z,Henry,Disturbance Service,Disturbance,2,2295,695,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2017-12-29T18:02:09Z,2017,Dec,Fri,18,2017-12-29T18:06:47Z,2017-12-29T18:23:22Z,Charlie,Traffic Hazard,Traffic Stop/Hazard,1,995,306,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2019-10-09T12:23:50Z,2019,Oct,Wed,12,2019-10-09T12:32:37Z,2019-10-09T13:16:08Z,Frank,Suspicious Person,Suspicious Things,4,5943,563,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2014-06-05T14:17:19Z,2014,Jun,Thu,14,2014-06-05T15:05:33Z,2014-06-05T15:08:47Z,Adam,Suspicious Person,Suspicious Things,1,194,2957,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2022-09-19T17:52:57Z,2022,Sep,Mon,17,2022-09-19T17:56:52Z,2022-09-19T18:30:15Z,Edward,Trespass Urgent,Trespassing,2,3941,258,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 2,2023-10-03T16:43:00Z,2023,Oct,Tue,16,2023-10-03T16:50:06Z,2023-10-03T17:52:46Z,Adam,Trespass Urgent,Trespassing,1,3760,501,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2016-12-12T17:59:14Z,2016,Dec,Mon,17,2016-12-12T18:06:26Z,2016-12-12T18:11:17Z,Charlie,Hang-Ups,Other,1,291,444,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-01-27T00:32:01Z,2014,Jan,Mon,0,2014-01-27T00:34:01Z,2014-01-27T02:33:07Z,George,Flagged Down,Person Stop/FO,2,7756,141,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2024-05-19T12:16:10Z,2024,May,Sun,12,2024-05-19T12:58:34Z,2024-05-19T13:07:51Z,Henry,Trespass Urgent,Trespassing,2,1070,2560,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2020-08-02T12:59:30Z,2020,Aug,Sun,12,2020-08-02T13:28:22Z,2020-08-02T13:45:06Z,David,Alarm Burglar,Alarms,1,1004,1814,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 0,2019-04-18T08:11:19Z,2019,Apr,Thu,8,2019-04-18T08:25:26Z,2019-04-18T08:45:17Z,Adam,Disturbance Urgent,Disturbance,2,2178,853,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 1,2022-09-20T08:21:07Z,2022,Sep,Tue,8,2022-09-20T08:33:14Z,2022-09-20T12:26:19Z,Edward,Robbery Urgent,Robbery,2,16160,768,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2015-04-29T18:34:03Z,2015,Apr,Wed,18,2015-04-29T18:42:05Z,2015-04-29T18:47:26Z,Ida,Alarm Burglar,Alarms,1,321,505,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2016-01-13T08:06:45Z,2016,Jan,Wed,8,2016-01-13T08:15:40Z,2016-01-13T10:09:34Z,Edward,Disturbance Other,Disturbance,2,10679,637,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2019-06-04T19:33:27Z,2019,Jun,Tue,19,2019-06-04T19:51:39Z,2019-06-04T19:56:13Z,David,Alarm Burglar,Alarms,2,514,1127,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2020-05-28T21:23:46Z,2020,May,Thu,21,2020-05-28T21:30:20Z,2020-05-28T23:45:26Z,Edward,Disturbance Urgent,Disturbance,4,16850,465,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2021-03-29T20:50:47Z,2021,Mar,Mon,20,2021-03-29T21:05:40Z,2021-03-29T21:35:58Z,Frank,Disturbance Other,Disturbance,2,2151,997,0,0,0
Dispatched Incident,6,Mental Health Incident,Priority 2,2022-06-30T10:25:59Z,2022,Jun,Thu,10,2022-06-30T10:45:46Z,2022-06-30T11:40:21Z,Adam,Disturbance Other,Disturbance,2,6072,1256,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2019-02-21T11:51:52Z,2019,Feb,Thu,11,2019-02-21T12:22:43Z,2019-02-21T12:33:22Z,Baker,Assist Non Emergency,Assistance,2,1111,1851,0,0,0
